@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
9370,'2019/09/19 12:27:46:118',43,575.152527,183.703766,14.138813,562.601563,177.68219,22.192022,568.610779,167.942169,21.659023,566.758911,156.52475,18.427832,538.819702,147.19278,16.874329,0,0,0
9371,'2019/09/19 12:27:46:171',43,473.695068,132.053925,34.446762,445.363159,132.897614,28.268667,458.114716,125.474457,28.675598,481.353607,123.73114,26.334835,508.26889,128.671021,23.97401,0,0,0
9372,'2019/09/19 12:27:46:221',43,477.451385,115.678467,35.833069,461.732635,123.062439,28.770956,471.729797,115.943848,28.118439,493.138184,118.970093,25.245378,522.862305,125.275787,24.055893,0,0,0
9373,'2019/09/19 12:27:46:271',43,468.891174,125.311066,32.139862,450.475616,132.577606,28.186598,490.196045,127.291199,32.678291,536.162964,126.990051,32.318245,559.034546,134.434326,28.038284,0,0,0
9374,'2019/09/19 12:27:46:322',43,465.915375,131.355011,31.945663,446.185089,135.940247,27.300341,490.037903,133.789154,33.483723,541.837402,136.08905,33.25573,564.253174,140.201477,28.508495,0,0,0
9375,'2019/09/19 12:27:46:376',43,488.431763,131.616486,35.366493,489.090118,140.289124,33.793159,496.487915,130.873749,31.491133,528.803101,132.821411,29.477785,546.6427,138.11618,25.664261,0,0,0
9376,'2019/09/19 12:27:46:421',43,477.931519,135.672546,32.014229,462.527435,141.444824,28.56267,511.906616,137.25116,33.98555,551.216797,136.934174,31.853256,568.482239,143.807251,26.99811,0,0,0
9377,'2019/09/19 12:27:46:471',43,471.652985,141.245789,31.42046,454.788788,145.539948,27.784277,511.433868,144.221497,34.579834,550.532959,142.952881,32.094826,568.610596,148.407074,27.151306,0,0,0
9378,'2019/09/19 12:27:46:522',43,476.812744,152.311035,32.376595,483.376587,161.496094,32.505825,496.028198,152.573456,31.124275,522.609497,151.42981,27.708424,544.699463,156.255219,24.349525,0,0,0
9379,'2019/09/19 12:27:46:572',43,486.828827,159.064148,31.69499,483.703583,164.261475,28.03125,491.353119,158.69342,26.089018,508.391937,161.494659,22.485178,529.902283,169.019135,20.448027,0,0,0
